term_iri	term_label	term_type	mondo_iri	mondo_label	all_children_count	active_children_needing_reparent
http://www.ebi.ac.uk/efo/EFO_0000094	B-cell acute lymphoblastic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0004947	B-cell acute lymphoblastic leukemia	0	0
http://www.ebi.ac.uk/efo/EFO_0000095	chronic lymphocytic leukemia	EFO	http://purl.obolibrary.org/obo/MONDO_0004948	B-cell chronic lymphocytic leukemia	1	0
http://www.ebi.ac.uk/efo/EFO_0000096	neoplasm of mature B-cells	EFO	http://purl.obolibrary.org/obo/MONDO_0004949	neoplasm of mature B-cells	7	0
http://www.ebi.ac.uk/efo/EFO_0000174	Ewing sarcoma	EFO	http://purl.obolibrary.org/obo/MONDO_0012817	Ewing sarcoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000178	gastric carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004950	gastric carcinoma	7	2
http://www.ebi.ac.uk/efo/EFO_0000181	head and neck squamous cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0010150	head and neck squamous cell carcinoma	8	0
http://www.ebi.ac.uk/efo/EFO_0000182	hepatocellular carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0007256	hepatocellular carcinoma	4	1
http://www.ebi.ac.uk/efo/EFO_0000183	Hodgkins lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004952	Hodgkins lymphoma	3	0
http://www.ebi.ac.uk/efo/EFO_0000186	invasive ductal carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004953	invasive ductal carcinoma	4	0
http://www.ebi.ac.uk/efo/EFO_0000191	MALT lymphoma	EFO	http://purl.obolibrary.org/obo/MONDO_0007650	MALT lymphoma	4	0
http://www.ebi.ac.uk/efo/EFO_0000196	metastatic prostate cancer	EFO	http://purl.obolibrary.org/obo/MONDO_0004956	metastatic prostate carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000197	mucinous carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004957	mucinous adenocarcinoma	12	0
http://www.ebi.ac.uk/efo/EFO_0000198	myelodysplastic syndrome	EFO	http://purl.obolibrary.org/obo/MONDO_0018881	myelodysplastic syndrome	3	0
http://www.ebi.ac.uk/efo/EFO_0000199	oral squamous cell carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004958	oral squamous cell carcinoma	3	0
http://www.ebi.ac.uk/efo/EFO_0000200	plasma cell neoplasm	EFO	http://purl.obolibrary.org/obo/MONDO_0004959	plasma cell neoplasm	4	0
http://www.ebi.ac.uk/efo/EFO_0000203	monoclonal gammopathy	EFO	http://purl.obolibrary.org/obo/MONDO_0004960	monoclonal gammopathy	1	1
http://www.ebi.ac.uk/efo/EFO_0000205	stage I endometrioid carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004961	stage I endometrioid carcinoma	0	0
http://www.ebi.ac.uk/efo/EFO_0000206	stage II endometrioid carcinoma	EFO	http://purl.obolibrary.org/obo/MONDO_0004962	stage II endometrioid carcinoma	0	0
